title,video_type,duration_sec,view_count,like_count,comment_count,published_at,video_id
Travis Japan【質問返し】静岡でうなぎを食べながらお返事しちゃうぞ！,Regular,1065.0,408483,13483,1344,2025-05-17T12:00:48Z,RSBMMJY4DCI
Travis Japan【食べ物人狼】ひとりだけ違う食べ物を食べている人狼は誰だ!?,Regular,1170.0,415308,12841,883,2025-05-10T12:00:31Z,CWhvwhOheY4
Travis Japan – 'Would You Like One?' Music Video behind the scenes,Regular,347.0,230534,11353,783,2025-05-03T12:00:36Z,Mm2c9MDhk8s
Travis Japan【楽屋ゲーム】しずおか👉しおづけ👉しずや 😱！静岡で大混乱＆大波乱＆大爆笑!?,Regular,705.0,265537,11669,1090,2025-05-03T12:00:03Z,03fSsYaPWl4
Travis Japan – 'Would You Like One?' Music Video,Regular,192.0,5797399,49557,18124,2025-04-27T15:00:06Z,G056SzS3fg8
Travis Japan【逆再生キング】耳コピで逆再生を完コピせよ！,Regular,813.0,261261,11360,738,2025-04-26T12:00:08Z,2hKSnt0vE4E
Travis Japan【ネタバレ注意】福岡でコンサートの裏話を話しちゃいました🍜,Regular,1388.0,477325,14453,1270,2025-04-19T12:00:32Z,BlDICPKXZc4
Travis Japan【香り爆発】画伯爆誕！香水からイメージして絵を描くのだ！！,Regular,1226.0,248759,10574,1027,2025-04-12T12:01:04Z,ZvHrygSB79Q
Travis Japan – 'Would You Like One?' - Performance Video –,Regular,158.0,2957399,30819,3475,2025-04-11T10:00:22Z,Ga7w5qw1Cr0
Travis Japan【花見リベンジ】福岡で桜散策！今年こそ🌸を見ることができるのか!?,Regular,844.0,416830,15195,1285,2025-04-05T12:01:12Z,q5_8CZMooZQ
Travis Japan【大食い企画 第６弾】名古屋の超巨大パフェに挑戦🍨大食いの神（自称）は甘い物苦手だが果たして！？,Regular,859.0,898551,19915,1313,2025-03-29T12:00:34Z,MmVncHJS5dM
