title,published_at,view_count,like_count,comment_count,video_id
実は寒かったよね❄️ #TravisJapan #踊らなきゃ損 #stravelers #福井,2026-02-17T03:01:17Z,246930,16519,372,e3qtzwWCyDY
開演10分前に撮った💦#踊らなきゃ損#宮近海斗 #松田元太 #TravisJapan,2026-02-17T03:00:56Z,200452,13617,148,OhofVFPr-1o
福井といえば？#踊らなきゃ損#中村海人#松倉海斗 #TravisJapan,2026-02-17T03:00:36Z,129748,10714,164,OCozTqSfKY0
🕺✨#踊らなきゃ損#七五三掛龍也#川島如恵留#吉澤閑也,2026-02-17T03:00:20Z,211907,10848,96,anyZoKpM4qI
Travis Japan – '陰ニモ日向ニモ' Music Video,2026-02-16T09:00:07Z,6765387,53772,43465,JAbLbKqZ1RY
Travis Japan【カラオケ対決】｢愛のかたまり｣ガチ熱唱！Happy Valentine’s day💜,2026-02-14T12:00:06Z,813431,25299,2454,1I7rxZUf7cw
雪っていいよね❄️🍫 #TravisJapan #OShanTee #stravelers #福井,2026-02-14T03:00:02Z,255658,15029,169,21h66zK4L0c
Travis Japan【カラオケ対決】｢愛のかたまり｣ガチ熱唱！　#TravisJapan #トラジャ #カラオケ #愛のかたまり #DOMOTO,2026-02-13T12:00:07Z,183721,14968,669,52pW4ozNhi0
❤️💙#TravisJapan #OShanTee #宮近海斗 #松田元太,2026-02-13T03:02:00Z,223793,12603,155,ivxo6obbxmc
おしゃんてぃ♡#TravisJapan #OShanTee #中村海人 #松倉海斗,2026-02-13T03:01:14Z,252653,13697,168,xRbirM_V7-w
福井でおしゃんてぃ♡#TravisJapan #OShanTee #七五三掛龍也 #川島如恵留 #吉澤閑也,2026-02-13T03:01:06Z,230812,10657,145,xi4CNqPZpCY
愛情表現たっぷり🥰 #TravisJapan #OShanTee #七五三掛龍也 #川島如恵留 #松倉海斗,2026-02-12T03:02:00Z,108782,8671,126,SsphKfkOD-o
あれ？ちょっとシャイ？#TravisJapan #OShanTee #宮近海斗 #中村海人 #七五三掛龍也,2026-02-12T03:01:08Z,194469,10713,101,XnSQ_Gl1dfc
おしゃんてぃ✨#TravisJapan #OShanTee #七五三掛龍也 #松田元太 #吉澤閑也,2026-02-12T03:00:34Z,117434,8632,88,Qm0VwbS2Zk4
【JUST!シン日本遺産】シーズン２　# 18をちら見せ「大雨から一転快晴の函館編 湖で船に乗り込んだ２人はあの魚の漁を体験！」続きはTELASAで,2026-02-11T23:01:10Z,35645,3160,120,rJgm0iwBXBw
O-Shan-Tee 🎶#TravisJapan #OShanTee #宮近海斗 #松田元太,2026-02-11T09:34:18Z,398116,14550,125,stZL7m3PXAI
オシャンティ🫰#TravisJapan #OShanTee #川島如恵留 #中村海人 #吉澤閑也,2026-02-11T09:32:00Z,137655,9645,127,RmpfZG3Kv-I
おしゃんてぃ先輩(((o(*ﾟ▽ﾟ*)o)))♡#TravisJapan #OshanTee #松倉海斗 #Machu,2026-02-11T09:31:01Z,116856,9108,124,NNL10OaRnNU
O-Shan-Tee🕶️ #TravisJapan #OShanTee #七五三掛龍也 #松倉海斗,2026-02-11T09:30:35Z,148313,10318,125,m__QS1MMHPo
#10 カイト＆カイト！！,2026-02-11T09:44:00Z,34932,2765,67,_AxIo7SAKf4
Travis Japan【画伯爆誕】2025年 虎Tubeの思い出をイラストで語ろうぜ！,2026-02-07T12:01:23Z,306979,12106,1006,m3EPu2YWsVE
Travis Japan【画伯爆誕】2025年をイラストで語れ！　#TravisJapan #トラジャ #振り返り #イラスト #思い出 #2025,2026-02-06T12:00:56Z,139609,12447,268,WrPyTF71hOM
【JUST!シン日本遺産】シーズン２　# 17をちら見せ「大雨の函館編 ハプニングを乗り越えてシン日本遺産に辿り着くことは出来るのか？」続きはTELASAで,2026-02-04T23:01:07Z,53512,3520,118,oHbWmyaGOjM
#9 叱咤激励からはじまります笑,2026-02-04T09:28:00Z,40602,2726,85,hNdyfcDITaA
Travis Japan【大喜利】これは誰のボケ？わかるに決まってるじゃん！,2026-01-31T12:00:03Z,263267,11571,1015,1q8iqNvSBdY
Travis Japan【大喜利】これは誰のボケ？　#TravisJapan #トラジャ #大喜利 #誰のボケ,2026-01-30T12:00:59Z,145993,11942,279,VSmAkfvtaKI
【JUST!シン日本遺産】シーズン２　# 16をちら見せ「大人の軽井沢ロケ“アダルザワ”完結&ハプニング必至大雨の函館編始動！！」続きはTELASAで,2026-01-28T23:00:13Z,53692,3814,198,57ibx0IUgbQ
#8 メンバーが番組に✉️を送る際も・・・！？,2026-01-28T09:25:01Z,33710,2496,73,Uxsg0HThvb0
Travis Japan【プライベートカラオケ】アルバムが出たからカラオケで歌いまくろうぜい🎤,2026-01-24T12:00:46Z,561435,20427,4091,O2dJ8yM9z4c
Travis Japan【プライベートカラオケ】アルバム発売恒例企画🎤　#TravisJapan #トラジャ #カラオケ #stravelers,2026-01-23T12:00:42Z,206799,17386,664,M8G6AAD9pR8
【JUST!シン日本遺産premium】「第１弾はシンスポーツ遺産！まくら投げの魅力を体感！！」続きはTELASAで,2026-01-21T23:15:02Z,113379,6360,243,ZVAvIKIZviA
【JUST!シン日本遺産】シーズン２　# 15をちら見せ「夜の森で名カメラマン対決！延長戦！」続きはTELASAで,2026-01-21T23:00:50Z,27267,2578,84,cfYnT45sZFU
#7 今回も川松ペアがお届け！,2026-01-21T09:24:06Z,30115,2382,83,sYf0e1WD7xc
Travis Japan【桃鉄２ 後編】鉄道王に俺はなる！まったりゆったりプレイ🎮,2026-01-17T12:01:52Z,217567,7796,949,zagxFHnzpNI
Travis Japan【桃鉄２】後編🎮　#TravisJapan #トラジャ #桃鉄 #東日本 #ゲーム,2026-01-16T12:01:23Z,167238,9491,269,iRhAI6YeozA
【JUST!シン日本遺産】シーズン２　# 14をちら見せ「信州が誇る食の究極 そば」続きはTELASAで,2026-01-14T23:01:30Z,58837,3805,147,t3uv3gCK1R8
#6 2026年最初にお届けするのはこのペア！！,2026-01-14T09:33:00Z,43995,3207,109,TXDu0bmz-HA
